text,label
Emergency surgery required immediately,CRITICAL
Cardiac arrest case in ICU,CRITICAL
Code blue in ward 3,CRITICAL
Ventilator failure in ICU bed 4,CRITICAL
Severe trauma patient admitted,CRITICAL
Emergency blood transfusion required,CRITICAL
Patient collapse in ward 2,CRITICAL
Critical oxygen failure detected,CRITICAL
Major internal bleeding case,CRITICAL
Emergency operation theatre preparation,CRITICAL
Unresponsive patient in ICU,CRITICAL
Rapid response team required urgently,CRITICAL
Severe head injury admission,CRITICAL
Critical ventilator malfunction,CRITICAL
Emergency intubation required,CRITICAL
Life threatening infection detected,CRITICAL
Massive blood loss case,CRITICAL
Immediate cardiac intervention needed,CRITICAL
Septic shock patient admitted,CRITICAL
Critical trauma case incoming,CRITICAL
Emergency surgery required immediately,CRITICAL
Cardiac arrest case in ICU,CRITICAL
Code blue in ward 3,CRITICAL
Ventilator failure in ICU bed 4,CRITICAL
Severe trauma patient admitted,CRITICAL
Emergency blood transfusion required,CRITICAL
Patient collapse in ward 2,CRITICAL
Critical oxygen failure detected,CRITICAL
Major internal bleeding case,CRITICAL
Emergency operation theatre preparation,CRITICAL
Unresponsive patient in ICU,CRITICAL
Rapid response team required urgently,CRITICAL
Severe head injury admission,CRITICAL
Critical ventilator malfunction,CRITICAL
Emergency intubation required,CRITICAL
Life threatening infection detected,CRITICAL
Massive blood loss case,CRITICAL
Immediate cardiac intervention needed,CRITICAL
Septic shock patient admitted,CRITICAL
Critical trauma case incoming,CRITICAL
Emergency surgery required immediately,CRITICAL
Cardiac arrest case in ICU,CRITICAL
Code blue in ward 3,CRITICAL
Ventilator failure in ICU bed 4,CRITICAL
Severe trauma patient admitted,CRITICAL
Emergency blood transfusion required,CRITICAL
Patient collapse in ward 2,CRITICAL
Critical oxygen failure detected,CRITICAL
Major internal bleeding case,CRITICAL
Emergency operation theatre preparation,CRITICAL
Unresponsive patient in ICU,CRITICAL
Rapid response team required urgently,CRITICAL
Severe head injury admission,CRITICAL
Critical ventilator malfunction,CRITICAL
Emergency intubation required,CRITICAL
Life threatening infection detected,CRITICAL
Massive blood loss case,CRITICAL
Immediate cardiac intervention needed,CRITICAL
Septic shock patient admitted,CRITICAL
Critical trauma case incoming,CRITICAL
Urgent lab result review needed,HIGH
ICU monitoring required for patient,HIGH
Ventilator settings adjustment required,HIGH
Urgent discharge clearance pending,HIGH
High fever patient under observation,HIGH
Radiology report delay affecting case,HIGH
Specialist review required today,HIGH
Urgent pharmacy approval needed,HIGH
Blood report pending urgently,HIGH
Emergency ward supervision required,HIGH
ICU bed reassignment needed,HIGH
Urgent medication restock required,HIGH
Immediate wound inspection required,HIGH
Critical supply running low,HIGH
Urgent diagnostic follow up,HIGH
ICU equipment calibration required,HIGH
Urgent surgery scheduling,HIGH
High priority lab confirmation,HIGH
Specialist consultation required,HIGH
Urgent patient transfer arrangement,HIGH
Urgent lab result review needed,HIGH
ICU monitoring required for patient,HIGH
Ventilator settings adjustment required,HIGH
Urgent discharge clearance pending,HIGH
High fever patient under observation,HIGH
Radiology report delay affecting case,HIGH
Specialist review required today,HIGH
Urgent pharmacy approval needed,HIGH
Blood report pending urgently,HIGH
Emergency ward supervision required,HIGH
ICU bed reassignment needed,HIGH
Urgent medication restock required,HIGH
Immediate wound inspection required,HIGH
Critical supply running low,HIGH
Urgent diagnostic follow up,HIGH
ICU equipment calibration required,HIGH
Urgent surgery scheduling,HIGH
High priority lab confirmation,HIGH
Specialist consultation required,HIGH
Urgent patient transfer arrangement,HIGH
Urgent lab result review needed,HIGH
ICU monitoring required for patient,HIGH
Ventilator settings adjustment required,HIGH
Urgent discharge clearance pending,HIGH
High fever patient under observation,HIGH
Radiology report delay affecting case,HIGH
Specialist review required today,HIGH
Urgent pharmacy approval needed,HIGH
Blood report pending urgently,HIGH
Emergency ward supervision required,HIGH
ICU bed reassignment needed,HIGH
Urgent medication restock required,HIGH
Immediate wound inspection required,HIGH
Critical supply running low,HIGH
Urgent diagnostic follow up,HIGH
ICU equipment calibration required,HIGH
